"lat","lng","status","date","type","color"
"-11.829075777433","-77.119020451872","CERRADO","2021-08-03 23:56:13","MATERIALES PELIGROSOS (INCIDENTE) / FUGA GAS GLP Y OTROS GASES INFLAM / EN VEHICULO","#757575"
"-12.075935840087","-77.028353081538","CERRADO","2021-08-04 06:38:56","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.035960752887","-77.06869979555","CERRADO","2021-08-04 09:32:03","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.019599186568","-76.967380738777","CERRADO","2021-08-04 10:41:57","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.053567339128","-76.976604069317","CERRADO","2021-08-04 18:20:02","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.142204981057","-76.939727893676","CERRADO","2021-08-04 18:04:17","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.215052711452","-76.922447437785","CERRADO","2021-08-05 04:02:35","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.070914654008","-77.115810981853","CERRADO","2021-08-05 15:43:14","MATERIALES PELIGROSOS (INCIDENTE) / FUGA GAS GLP Y OTROS GASES INFLAM / EN VEHICULO","#757575"
"-12.10703833528","-76.981546172147","CERRADO","2021-08-05 23:23:57","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.031404144553","-77.003770887542","ATENDIENDO","2021-08-05 18:34:29","INCENDIO / FORESTAL / BOSQUES","#D32F2F"
"-12.059652717527","-77.127248844273","CERRADO","2021-08-06 03:06:15","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.053182359887","-77.01149136991","CERRADO","2021-08-06 17:36:43","INCENDIO / VEHICULO / AUTOMOVIL / VIA PUBLICA","#D32F2F"
"-11.828460445692","-77.119683272552","CERRADO","2021-08-06 20:13:39","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.07911224469","-77.050768630757","CERRADO","2021-08-06 21:03:15","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.110243734843","-77.039529301711","CERRADO","2021-08-07 02:00:25","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.010601510544","-77.056964285843","CERRADO","2021-08-07 05:14:08","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.049654372833","-77.050087114424","CERRADO","2021-08-07 05:01:46","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.066198153771","-77.124201198077","ATENDIENDO","2021-08-07 14:56:05","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.012510256324","-77.081460286155","CERRADO","2021-08-08 03:02:20","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-11.916107311208","-77.050990110355","CERRADO","2021-08-08 05:25:41","INCENDIO / VEHICULO / AUTOMOVIL / VIA PUBLICA","#D32F2F"
"-12.037772528386","-77.05719596371","CERRADO","2021-08-08 09:46:11","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-11.985566640918","-76.809443640328","CERRADO","2021-08-08 08:34:17","INCENDIO / FORESTAL / TERRENO DE CULTIVO,CHACRA, OTROS","#D32F2F"
"-11.9144331","-77.0490126","CERRADO","2021-08-08 16:48:55","INCENDIO / OTROS / CHIMENEA","#D32F2F"
"-12.012420528501","-77.104016854905","CERRADO","2021-08-08 21:09:04","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.211191823244","-76.900151390687","CERRADO","2021-08-09 02:27:25","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.07601306381","-77.087892206588","CERRADO","2021-08-09 23:21:54","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.011177794366","-77.072319407536","CERRADO","2021-08-10 06:50:36","INCENDIO / ESTRUCTURAS / ALMACEN - DEPOSITO","#D32F2F"
"-11.983134806252","-77.078663630657","CERRADO","2021-08-10 06:15:30","ACCIDENTE VEHICULAR / PARTICULAR / AUTOMOVIL","#E65100"
"-12.014856844438","-76.997633096273","CERRADO","2021-08-10 21:10:38","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.064405195092","-77.038783846913","CERRADO","2021-08-11 08:14:19","ACCIDENTE VEHICULAR / PARTICULAR / AUTOMOVIL","#E65100"
"-12.061904","-77.034148","CERRADO","2021-08-11 12:25:48","SERVICIO ESPECIAL / PREVENCION - CAPACITACION / SIMULACROS","#40C4FF"
"-12.137583111239","-77.002781536489","CERRADO","2021-08-12 02:49:38","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-11.988562548426","-77.088174134417","CERRADO","2021-08-12 02:28:26","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.150371784669","-77.020110573854","CERRADO","2021-08-12 04:57:28","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.038515003724","-77.031949263619","ATENDIENDO","2021-08-12 16:20:12","INCENDIO / VEHICULO / AUTOMOVIL / VIA PUBLICA","#D32F2F"
"-12.062987354647","-76.995067231799","CERRADO","2021-08-12 19:17:41","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.201478618541","-76.981707526713","CERRADO","2021-08-12 20:40:49","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.113487359582","-76.985863687924","CERRADO","2021-08-12 21:52:48","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.119235959027","-77.027052888693","ATENDIENDO","2021-08-12 23:30:07","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.067826178823","-76.958217017249","CERRADO","2021-08-13 03:29:59","MATERIALES PELIGROSOS (INCIDENTE) / FUGA GAS GLP Y OTROS GASES INFLAM / EN VEHICULO","#757575"
"-12.059823590235","-77.037950668531","CERRADO","2021-08-13 05:11:50","ACCIDENTE VEHICULAR / PARTICULAR / AUTOMOVIL","#E65100"
"-11.998826374025","-77.050474639797","CERRADO","2021-08-13 06:30:55","INCENDIO / VEHICULO / AUTOMOVIL / VIA PUBLICA","#D32F2F"
"-11.883778948404","-77.02348493745","CERRADO","2021-08-13 08:09:36","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-11.984888979264","-77.011769063697","ATENDIENDO","2021-08-13 10:32:20","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.158468285994","-76.98477846326","ATENDIENDO","2021-08-13 14:50:02","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.052805847791","-77.092793674365","CERRADO","2021-08-13 17:58:48","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.160957791928","-76.968925009849","CERRADO","2021-08-13 19:49:36","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-13.6674516","-76.2119295","ATENDIENDO","2021-08-13 22:09:55","EMERGENCIA MEDICA / TRAUMATICAS / HERIDO POR CAIDA","#1565C0"
"-12.001448824924","-76.856835070884","CERRADO","2021-08-13 22:53:35","INCENDIO / ESTRUCTURAS / ALMACEN - DEPOSITO","#D32F2F"
"-11.975169","-76.771609","CERRADO","2021-08-14 01:39:59","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-11.872005210232","-77.082647312741","CERRADO","2021-08-14 06:59:22","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.205728823865","-76.924366957307","CERRADO","2021-08-14 15:58:32","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
